,id,priceLabel,name,brandId,brandName,imageLink,desc,vendor,print,material,cashmere
b'0',b'399795110',b'119.83',b'Burberry London checked silk tie',b'870',b'Burberry',b'http://bim.shopstyle.com/pim/3c/27/3c27ee2884a1163917d41109fc3be1f3_best.jpg',b'Nude silk tie from Burberry London featuring a classic pointed design and a contrasting black and red house check print.',b'farfetch.com',b'_print',b'_silk',b'False'
b'1',b'12822215',b'59.5',b'BB1 Repp Slim Tie',b'3415',b'Brooks Brothers',b'http://bim.shopstyle.com/pim/6b/63/6b63cc4838699797aac410ea0316faca_best.jpg',"b'Expertly woven in England, this collection is known for its stripes and vibrant colors. Our signature stripe detailing goes from right to left. Pure silk. 2 5/8"" width. Dry clean. Imported.'",b'Brooks Brothers',b'_striped',b'_silk',b'False'
b'2',b'369523836',b'119.83',b'Burberry London check woven tie',b'870',b'Burberry',b'http://bim.shopstyle.com/pim/51/d0/51d0e2b9608115fb0ae74f00eec55457_best.jpg',"b""Beige silk tie from Burberry London featuring a classic pointed design and a signature woven 'House' check.""",b'farfetch.com',b'unknown',b'_silk',b'False'
b'3',b'436980493',b'90.2',b'Salvatore Ferragamo Vintage patterned tie',b'1948',b'Salvatore Ferragamo',b'http://bim.shopstyle.com/pim/d2/b6/d2b66a7e72df2c5df133dbfa04321cab_best.jpg',b'Azure blue silk patterned tie from Salvatore Ferragamo featuring a multicoloured patterned print. Please note that vintage items are not new and therefore might have minor imperfections.',b'farfetch.com',b'_print',b'_silk',b'False'
b'4',b'462309856',b'139.3',b'Salvatore Ferragamo Gancio print tie',b'1948',b'Salvatore Ferragamo',b'http://bim.shopstyle.com/pim/4c/94/4c943cea0449331781257056a390e1aa_best.jpg',b'Blue silk Gancio print tie from Salvatore Ferragamo featuring a pointed tip.',b'farfetch.com',b'_print',b'_silk',b'False'
b'5',b'445814180',b'117.87',b'Burberry London micro dot tie',b'870',b'Burberry',b'http://bim.shopstyle.com/pim/22/67/2267bfa7a6d5a57594bc82c289f22122_best.jpg',b'Mid blue silk micro dot tie from Burberry London featuring a pointed tip and an embroidered logo.',b'farfetch.com',b'unknown',b'_silk',b'False'
b'6',b'461795606',b'190.0',b'Salvatore Ferragamo Dog & Shoe-Print Neck Tie',b'1948',b'Salvatore Ferragamo',b'http://bim.shopstyle.com/pim/41/24/4124e4d275d71527651720ee071bf6b1_best.jpg',"b'Salvatore Ferragamo orange-red/multicolor dog and shoe-print silk twill neck tie. Self-keeper, contrast logo facing. 3.25"" width, approximately. Available in Orange-Red/Multi. Silk. Dry clean. Made in Italy.'",b'Barneys New York',b'_print',b'_silk',b'False'
b'7',b'461954865',b'95.0',b'Herm\xc3\xa8s Tie',b'1274',b'Hermes',b'http://bim.shopstyle.com/pim/5e/df/5edf8d8364e1ef76241abaa6014a7980_best.jpg',"b""Men's dark pink, tan and multicolor Herm\xc3\xa8s silk necktie with frog and cow motif.""",b'TheRealReal',b'unknown',b'_silk',b'False'
b'8',b'458506705',b'133.94',"b""Burberry London 'Nova check' pointed tip tie""",b'870',b'Burberry',b'http://bim.shopstyle.com/pim/ff/8c/ff8c2516e2dec8646042fd02bb4de35e_best.jpg',"b""Beige silk 'Nova check' pointed tip tie from Burberry.""",b'farfetch.com',b'unknown',b'_silk',b'False'
b'9',b'399756406',b'119.83',"b""Burberry London 'Rohan' silk tie""",b'870',b'Burberry',b'http://bim.shopstyle.com/pim/a8/3c/a83c9d1cd94907263ddd9f6a5d01872f_best.jpg',"b""Black silk 'Rohan' tie from Burberry Brit featuring a classic design and a contrasting nova nova check design.""",b'farfetch.com',b'unknown',b'_silk',b'False'
