b'Gucci Signature GG jacquard silk tie',"b'<ul><li>Charcoal-grey, dark-brown, black and beige GG-jacquard, silk</li><li>Dark-brown GG-jacquard lining </li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'"
b'Gucci printed tie',b'Blue silk printed tie from Gucci featuring branded rear patch and a printed logo to the rear.'
b'Gucci Tie',"b""Men's navy, cobalt and multicolor Gucci silk necktie with geometric print and G logo throughout."""
b'GG pattern tie.',"b'<ul> <li>black with black GG</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
b'Silk Jacquard Tie',"b'<ul> <li>black</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
b'GG pattern tie.',"b'<ul> <li>navy with blue GG</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
b'Gucci printed tie',b'Blue silk printed tie from Gucci featuring a polka dot pattern.'
b'Patterned Woven Silk Bow Tie',b'<ul> <li>black and light brown</li> <li>100% silk</li> <li>Made in Italy</li> </ul>'
b'Gucci printed tie',b'Grey and black silk printed tie from Gucci featuring a polka dot print and branded rear patch.'
b'Gucci Circle-jacquard silk tie',"b'<ul><li>Matte blue, high-shine blue and silver-grey circle-jacquard, silk</li><li>Black GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'"
b'Patterned Silk Tie',"b'<ul> <li>dark blue and red</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'Patterned Silk Twill Tie',"b'<ul> <li>bordeaux and red</li> <li>Made in Italy</li> <li>100% silk twill</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
b'Striped Woven Silk Tie',"b'<ul> <li>brown and orange</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'Gucci Diamond-weave bow tie',"b'<ul><li>Navy and black, jacquard diamond-weave</li><li>Adjustable hook fastening</li><li>59% cotton, 28% silk, 13% polyester</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'"
b'Gucci Circle-jacquard silk tie',"b'<ul><li>Matte navy, high-shine navy and white circle-jacquard, silk</li><li>Navy GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'"
b'Striped Woven Silk Tie',"b'<ul> <li>royal blue and light grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'Striped Silk Twill Bow Tie',b'<ul> <li>red and light blue</li> <li>100% silk</li> <li>Made in Italy</li> </ul>'
b'Striped Silk Gauze Tie',b'<ul> <li>blue and beige striped silk gauze</li> <li>100% silk</li> <li>Made in Italy</li> </ul>'
b'Patterned Silk Tie',"b'<ul> <li>bordeaux and red</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'pink silk jacquard GG pattern tie',"b'<ul> <li>pink</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
b'Patterned Habutai Silk Bow Tie',b'<ul> <li>off-white and yellow</li> <li>100% silk</li> <li>Made in Italy</li> </ul>'
b'Patterned Cotton Knit Tie',b'<ul> <li>bordeaux and grey</li> <li>100% cotton</li> <li>Made in Italy</li> </ul>'
b'Striped Woven Silk Tie',"b'<ul> <li>red and light blue</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>'"
b'Gucci Silk-Satin Bow Tie',"b""When the strictest dress codes are expected, a classic black bow tie is an infallible choice. The choice of Academy Award winners from Messrs. Clark Gable to Christian Bale, Gucci 's silk-satin version is the debonair way to complete your look. <ul> <li>Black silk-satin bow tie</li> <li>100% silk</li> <li>Dry clean</li> <li>Made in Italy</li> </ul>"""
b'Gucci Tie',"b""Men's royal blue, steel blue and multicolor Gucci silk necktie with vertical stripes and Gs throughout."""
b'Gucci Tie w/ Tags',"b""Men's brown, burgundy and pink Gucci silk stripe necktie."""
b'Gucci Diamante Tie',"b""Men's steel blue and ivory Gucci silk necktie with Diamante print throughout."""
b'Gucci Tie',"b""Men's brown Gucci silk necktie with jacquard wavy stripes throughout."""
b'Gucci Tie',"b""Men's blue, gold and red Gucci silk printed tie."""
b'Gucci Tie',"b""Men's navy and steel blue Gucci silk necktie with geometric G print throughout."""
b'Gucci Vintage striped tie',b'Blue silk-cotton blend striped tie from Gucci Vintage circa 1990. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Gucci printed tie',"b'Blue and silver silk printed tie from Gucci featuring branded rear patch, a printed logo to the rear and a graphic print.'"
b'Striped Woven Silk Tie',"b'<ul> <li>graphite and blue</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'Patterned Woven Silk Tie',"b'<ul> <li>dark blue and grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'Knitted Tie With Web Detail',"b'<ul> <li>black and dark green</li> <li>Made in Italy</li> <li>100% silk</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
b'Horsebit Woven Silk Tie',"b'<ul> <li>grey blue</li> <li>Made in Italy</li> <li>100% silk</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
b'GG pattern tie with web detail.',"b'<ul> <li>sky blue</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
b'Solid Tie.',"b'<ul> <li>silver</li> <li>handmade</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
b'Multi-Patterned Woven Silk Tie',"b'<ul> <li>dark purple and pink</li> <li>3.2""""W x 54.6""""L</li> <li>Made in Italy</li> <li>100% silk</li> </ul>'"
b'Patterned Silk Twill Tie',"b'<ul> <li>navy and blue</li> <li>Made in Italy</li> <li>100% silk twill</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
b'interlocking G pattern silk wool tie',"b'<ul> <li>light grey and grey</li> <li>87% silk and 13% wool</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'"
b'Bow Tie',b'<ul> <li>white</li> <li>handmade</li> <li>100% silk twill</li> </ul>'
b'light blue silk jacquard GG pattern tie',"b'<ul> <li>light blue</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
