,id,priceLabel,name,brandId,brandName,imageLink,desc,vendor,print,material,cashmere
b'28',b'453573290',b'174.0',b'Gucci Signature GG jacquard silk tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/1b/3d/1b3d1973841ae658fa38ca4ed87af567_best.jpg',"b'<ul><li>Charcoal-grey, dark-brown, black and beige GG-jacquard, silk</li><li>Dark-brown GG-jacquard lining </li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'",b'MATCHESFASHION.COM',b'unknown',b'_silk',b'False'
b'42',b'458360440',b'150.02',b'Gucci printed tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/6b/c6/6bc6249f438d9e8af298bfebb425e879_best.jpg',b'Blue silk printed tie from Gucci featuring branded rear patch and a printed logo to the rear.',b'farfetch.com',b'_print',b'_silk',b'False'
b'54',b'462481298',b'95.0',b'Gucci Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/c8/e0/c8e022939aa0881b659ce576c5484392_best.jpg',"b""Men's navy, cobalt and multicolor Gucci silk necktie with geometric print and G logo throughout.""",b'TheRealReal',b'_print',b'_silk',b'False'
b'62',b'424378959',b'200.0',b'GG pattern tie.',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/71/89/718903d184ac4efa4a15a27fcc967d38_best.jpg',"b'<ul> <li>black with black GG</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'81',b'355492358',b'200.0',b'Silk Jacquard Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/93/05/9305e7135a09019ae821dace5f9b941d_best.jpg',"b'<ul> <li>black</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'100',b'424378956',b'200.0',b'GG pattern tie.',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/21/3b/213b1167bcb45baadd8b1502565938d7_best.jpg',"b'<ul> <li>navy with blue GG</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'134',b'458360259',b'150.02',b'Gucci printed tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/7d/d2/7dd2a82919a271c98fe5d9141cd78b07_best.jpg',b'Blue silk printed tie from Gucci featuring a polka dot pattern.',b'farfetch.com',b'_print',b'_silk',b'False'
b'136',b'450711186',b'170.0',b'Patterned Woven Silk Bow Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/5b/f6/5bf61d0b3f3054a1764d921533b4516d_best.jpg',b'<ul> <li>black and light brown</li> <li>100% silk</li> <li>Made in Italy</li> </ul>',b'Gucci',b'unknown',b'_silk',b'False'
b'181',b'458360173',b'150.02',b'Gucci printed tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/b7/12/b712d2f5edefa607bcbe1dfe1f433a8c_best.jpg',b'Grey and black silk printed tie from Gucci featuring a polka dot print and branded rear patch.',b'farfetch.com',b'_print',b'_silk',b'False'
b'189',b'453573165',b'174.0',b'Gucci Circle-jacquard silk tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/78/ea/78ea757597beceea4d9108d7667082a4_best.jpg',"b'<ul><li>Matte blue, high-shine blue and silver-grey circle-jacquard, silk</li><li>Black GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'",b'MATCHESFASHION.COM',b'unknown',b'_silk',b'False'
